"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1603","Navigation from login page to registration page","LMS system","Tue Mar 03 11:30:24 UTC 2026","passed","Tue Mar 03 11:30:26 UTC 2026","Authorization","Authentication","",""
"","0","Create course","LMS system","Tue Mar 03 11:30:28 UTC 2026","broken","Tue Mar 03 11:30:28 UTC 2026","Courses","Courses","",""
"","1511","User login with wrong email or password","LMS system","Tue Mar 03 11:30:23 UTC 2026","passed","Tue Mar 03 11:30:24 UTC 2026","Authorization","Authentication","",""
"","0","Check displaying of empty courses list","LMS system","Tue Mar 03 11:30:26 UTC 2026","broken","Tue Mar 03 11:30:26 UTC 2026","Courses","Courses","",""
"","2264","User login with wrong email or password","LMS system","Tue Mar 03 11:30:20 UTC 2026","passed","Tue Mar 03 11:30:22 UTC 2026","Authorization","Authentication","",""
"","3098","User login with correct email and password","LMS system","Tue Mar 03 11:30:23 UTC 2026","passed","Tue Mar 03 11:30:26 UTC 2026","Authorization","Authentication","",""
"","0","Check displaying of dashboard page","LMS system","Tue Mar 03 11:30:26 UTC 2026","broken","Tue Mar 03 11:30:26 UTC 2026","Dashboard","Dashboard","",""
"","2338","User login with wrong email or password","LMS system","Tue Mar 03 11:30:20 UTC 2026","passed","Tue Mar 03 11:30:22 UTC 2026","Authorization","Authentication","",""
"","1548","Registration with correct email, username and password","LMS system","Tue Mar 03 11:30:26 UTC 2026","passed","Tue Mar 03 11:30:28 UTC 2026","Registration","Authentication","",""
"","0","Edit course","LMS system","Tue Mar 03 11:30:26 UTC 2026","broken","Tue Mar 03 11:30:26 UTC 2026","Courses","Courses","",""
